GSM1692546	GSM1692547	GSM1692548	GSM1692549	GSM1692550	GSM1692551	GSM1692552	GSM1692553	GSM1692554
1700012A03Rik	2.203390634	2.203390634	2.203390634	2.203390634	2.203390634	2.203390634	2.203390634	2.203390634	2.203390634
1700012B07Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700012B09Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700012E03Rik	2.432143077	2.432143077	2.432143077	2.432143077	2.432143077	2.429350948	2.432143077	2.951075811	2.432143077
1700012I11Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700012O15Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700013D24Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700013G24Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700013H16Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700014B07Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700015C15Rik	2.193382145	2.193382145	2.193382145	2.193382145	2.193382145	2.193382145	2.193382145	2.206563365	2.193382145
1700015G11Rik	2.184710334	2.184710334	2.184710334	2.20765072	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700016A09Rik	2.184710334	2.184710334	2.184710334	2.370168386	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700016C15Rik	2.23985545	2.184710334	2.184710334	2.184710334	2.184710334	2.214314728	2.184710334	2.184710334	2.184710334
1700016D06Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.52636384	2.189413974	2.184710334	2.184710334	2.184710334
1700016D18Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
