	GSM356334	GSM356335	GSM356336	GSM356337
Aqp1	12.7875441407819	11.9530017142473	12.4510407496575	12.6172624263049
Glb1	10.5078542904133	9.94034122146528	10.7937563983525	10.1536566627267
Sipa1	7.16762676314136	6.29064289390997	6.90835726159927	6.95151130809515
Imp3	9.71287872670935	9.85187121107897	9.62387586044128	9.81892810045707
Magoh	9.98722155402751	10.2237715437129	9.99032422899537	9.82669773473562
Rpl19	12.7367671050818	12.33001564856	12.1913393819211	12.3971638957032
Nsdhl	10.1222728064609	10.2182243226614	10.9835067872538	9.61274679416735
Sh3bp5l	8.33355035420508	7.62582208536134	8.43138815678705	8.40553810545048
Adh1	11.8325815613569	12.6243888421047	12.9395048609575	11.8828376298094
Pin1	9.80438918066064	9.02175551644006	9.81212936892097	9.67077752904444
Vac14	7.10453517924601	6.45620020356196	6.78424965435948	6.64820733288657
Olig2	3.82983728511282	3.695548442792	3.72819464281505	3.71662883403319
Tie1	7.04196904360328	6.72605605972171	6.92485130579828	7.2477466042182
Psmb7	11.9447364656164	11.6776170398379	12.2587901344688	11.6999311513097
Sec13	9.46346333192096	8.76623257301861	9.63102841614925	8.82724783203039
Aurkaip1	10.1016581163543	9.54706057215745	10.0126195392872	9.99058343749957
Dctn3	9.39143258728268	9.42909318042827	9.48180526343022	9.20877116374808
Cdkn2d	7.80670854540658	8.27066239172991	7.76761919780301	7.30806711646811
Vps16	7.68663961570058	7.80941928010305	7.46568803108215	7.42680548283416
Gja4	6.5280374336979	6.84504705978005	6.50037553472213	6.53438961571397
Capn2	10.1621680442463	10.19020396745	9.55931997305199	9.89319465295027
Tk1	7.03386801841944	5.52752688106397	6.26296497234824	6.3434609277359
Pex12	7.85834317424292	7.20557634406276	7.86266427622156	7.80560261362095
Snx1	8.96941843291215	8.06125860694245	9.20048768340957	8.77894599459177
Pdyn	3.87983236446931	4.08309537548507	4.1034740280523	3.93349675416549
Polr2g	10.2000136596073	10.206062131603	10.4251819526117	10.2357041729162
Perp	9.72126189711785	9.78667613348191	9.53881155292373	9.70758395315654
Lamtor3	10.3119981592067	10.1053690507596	10.4513824974495	10.3057385232107
Ctns	7.12100607304997	6.68779333375579	7.09244143205394	7.02940139297508
Slc26a6	8.10974944035459	6.90099286892935	7.78703940025804	8.00418188882774
Rplp1	12.9773243476542	12.5901816336589	12.5381573570599	12.8061803243736
Ap1b1	9.68713895979278	9.20670357076341	9.5264942415492	9.56424844180585
Wdr45b	9.89365178180489	10.4200083859502	9.70470412603358	9.93291846957191
Psmc3	11.2910095697967	11.1791149893018	11.2715737085659	11.3150664738766
Prdx3	11.3234602174124	10.6284183167081	11.4394240635415	11.2138455095844
Shcbp1	5.43227603645124	4.94647096901883	5.29201064832027	5.06002060354755
Ugdh	10.8407462458697	10.7844234224217	11.3104155930567	11.1664662020063
Rars	9.0755401749017	9.25928477576631	9.30055435570678	9.10298224542978
Slc27a2	13.9729345898428	14.0242280824561	13.9999419443741	13.9625544568519
Crisp1	3.37609238976863	3.53019910591189	3.52158912928609	3.46789107636852
